,Wikipedia Reference,Matching Scholar Title,Category,Trustworthiness (1-5),Extracted Wikipedia Authors,Scholar Authors,Title Similarity (%),Author Match,Match Confidence,Scholar URL,Citations
0,M. G. Arora & M. Singh (1994). Nuclear Chemistry . Anmol Publications. p. 202. ISBN 81-261-1763-X .,nuclear fission,Unknown,1,"Arora, M",R Vandenbosch,67,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
1,Gopal B. Saha (1 November 2010). Fundamentals of Nuclear Pharmacy . Springer. pp. 11–. ISBN 978-1-4419-5860-0 .,dynamics of nuclear fission,Book,5,"Saha, G","D Hilscher, H Rossner",59,No,Low,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html,580
2,"Петржак, Константин (1989). ""Как было открыто спонтанное деление"" [How spontaneous fission was discovered]. In Черникова, Вера (ed.). Краткий Миг Торжества — О том, как делаются научные открытия [ Brief Moment of Triumph — About making scientific discoveries ] (in Russian). Наука. pp. 108– 112. ISBN 5-02-007779-8 .",nuclear fission,Unknown,N/A,"Петржак, К",R Vandenbosch,60,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
3,"Younes, Walid; Loveland, Walter (2021). An Introduction to Nuclear Fission . Springer. pp. 28– 30. ISBN 9783030845940 .",nuclear fission,Book,5,"Younes, W",R Vandenbosch,100,No,Medium,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
4,"Rhodes, Richard (1986). The Making of the Atomic Bomb . New York: Simon & Schuster Paperbacks. pp. 135– 138. ISBN 9781451677614 .",dynamics of nuclear fission,Book,5,"Rhodes, R","D Hilscher, H Rossner",52,Yes,Low,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html,580
5,"Dempster, A.J. (1938). ""The Atomic Masses of the Heavy Elements"" . Physical Review . 53 (1). American Physical Society: 64– 75. Bibcode : 1938PhRv...53...64D . doi : 10.1103/PhysRev.53.64 . Retrieved 9 October 2023 .",microscopic theory of nuclear fission: a review,Academic Paper,5,"Dempster, A","N Schunck, LM Robledo",43,No,Low,https://iopscience.iop.org/article/10.1088/0034-4885/79/11/116301/meta,299
6,"Feenberg, eugene (1939). ""On the Shape and Stability of Heavy Nuclei"" . Physical Review . 55 (5). American Physical Society: 504– 505. Bibcode : 1939PhRv...55..504F . doi : 10.1103/PhysRev.55.504.2 . Retrieved 9 October 2023 .",nuclear fission: a review of experimental advances and phenomenology,Academic Paper,5,"Feenberg, E","AN Andreyev, K Nishio",40,Yes,Low,https://iopscience.iop.org/article/10.1088/1361-6633/aa82eb/meta,255
7,"Lilley, John (2001). Nuclear Physics: Principles and Application . John Wiley & Sons, Ltd. pp. 7– 9, 13– 14, 38– 43, 265– 267. ISBN 9780471979364 .",nuclear fission,Book,5,"Lilley, J",R Vandenbosch,67,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
8,"Bohr, N. (1939). ""Resonance in Uranium and Thorium Disintegrations and the Phenomenon of Nuclear Fission"" . Physical Review . 55 (4). American Physical Society: 418– 419. Bibcode : 1939PhRv...55..418B . doi : 10.1103/PhysRev.55.418.2 . Retrieved 9 October 2023 .",nuclear fission,Academic Paper,5,"Bohr, N",R Vandenbosch,100,Yes,High,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
9,"""Essential cross sections"" . LibreTexts Library . July 2022 . Retrieved 9 October 2023 .",nuclear fission,Official Documentation,4,LibreTexts,R Vandenbosch,47,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
10,"Byrne, James (2011). Neutrons, nuclei, and matter: an exploration of the physics of slow neutrons (Dover ed.). Mineola, N.Y: Dover Publications. p. 259. ISBN 978-0-486-48238-5 .",dynamics of nuclear fission,Book,5,"Byrne, J","D Hilscher, H Rossner",48,No,Low,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html,580
11,"Kauffman, Andrew; Herminghuysen, Kevin; Van Zile, Matthew; White, Susan; Hatch, Joel; Maier, Andrew; Cao, Lei R. (October 2024). ""Review of research and capabilities of 500 kW research reactor at the Ohio State University"" . Annals of Nuclear Energy . 206 . Bibcode : 2024AnNuE.20610647K . doi : 10.1016/j.anucene.2024.110647 . Consequently, the fast neutron energy spectrum of FBF is at above 0.4 eV, with an average of 2.0 MeV and the median energy of 1.6 MeV.",promises and limitations of nuclear fission energy in combating climate change,Unknown,1,"Kauffman, A","V Knapp, D Pevec",44,Yes,Low,https://www.sciencedirect.com/science/article/pii/S0301421518303318,79
12,"Marion Brünglinghaus. ""Nuclear fission"" . European Nuclear Society. Archived from the original on 2013-01-17 . Retrieved 2013-01-04 .",nuclear fission,Unknown,1,"Brünglinghaus, M",R Vandenbosch,100,No,Medium,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
